osm_combination,location_ids
W1159336739-amenity:community_centre,14690
R1682243-boundary:administrative,"13260,13261"
R195266-boundary:administrative,"12404,12405,12406,12407"
R3579143-boundary:administrative,14661
N509907130-place:city,"14592,14593,14594"
N1243035214-place:locality,14695
R3290045-boundary:administrative,13607
N1627986501-place:suburb,14721
R225491-boundary:administrative,12478
R534147-boundary:administrative,12861
R27021-boundary:administrative,"11268,11269,11270,11271,11272,11273"
N262720064-place:town,14435
N58568637-place:city,14189
R2067731-boundary:administrative,"13388,13389,13390"
R1946216-boundary:administrative,13353
R1311341-boundary:administrative,"13153,13154,13155,13156"
R1790070-boundary:administrative,13288
R186579-boundary:administrative,"12291,12292"
R108318-boundary:administrative,11977
W397169884-landuse:religious,"14553,14554"
N294918313-natural:peak,14479
R195269-boundary:administrative,"12409,12410,12411,12412,12413"
R224951-boundary:administrative,"12468,12469,12470"
R307756-boundary:administrative,"12628,12629,12630,12631,12632,12633"
R106956-boundary:administrative,"11970,11971"
N158356856-place:hamlet,14281
N9452645121-office:company,14901
R7690464-boundary:administrative,13846
R162018-boundary:administrative,12133
N3206105022-amenity:atm,14811
W114796150-amenity:place_of_worship,14233
N371274506-place:city,14543
R9389392-boundary:administrative,13887
R959426-boundary:administrative,12946
N3207873659-place:town,14812
R62771-boundary:administrative,11820
R1100106-boundary:postal_code,13011
R115354-boundary:administrative,12020
N4427680493-amenity:social_facility,"14850,14851,14852,14853"
R61945-boundary:administrative,11457
N353039871-place:town,14534
N942873623-place:hamlet,14663
R3717825-boundary:administrative,13700
N7747595593-place:quarter,14895
N25438345-place:town,14033
N1576341874-place:house,14711
R62768-boundary:administrative,"11811,11812,11813,11814,11815,11816,11817,11818,11819"
R340746-boundary:administrative,12660
W1135517980-building:religious,14686
W294548130-building:public,"14477,14478"
N21749653-place:town,14022
R1916530-boundary:ceremonial,13330
W781993687-amenity:school,14646
R396708-boundary:administrative,12742
R365821-boundary:administrative,"12696,12697"
N1498862011-place:village,"14709,14710"
W283125852-amenity:school,14459
R62539-boundary:administrative,"11664,11665,11666,11667,11668,11669,11670"
N5504819056-place:house,14862
R349556-boundary:administrative,12674
N11023388994-place:house,14915
R11675192-boundary:administrative,14762
R62363-boundary:administrative,"11481,11482"
R387529-boundary:administrative,12717
W23415112-highway:residential,14971
N4212988896-place:house,14843
R195272-boundary:administrative,"12428,12429,12430,12431,12432"
R110451-boundary:administrative,11984
R62652-boundary:administrative,11758
W578629568-amenity:townhall,14616
N501528686-place:town,14586
R153481-boundary:administrative,12106
W22826418-landuse:residential,14024
R62638-boundary:administrative,"11730,11731,11732,11733,11734,11735"
R7219605-place:island,13837
N9424634217-leisure:sports_centre,14900
R4125425-highway:pedestrian,14977
R42628-boundary:administrative,11310
R722146-boundary:administrative,"12904,12905"
R3832427-boundary:administrative,13725
N107775-place:city,"11973,11974,11975,11972"
