osm_id,osm_type,osm_class,osm_class_type,display_name
1326762432,N,place,city,"Brighton, Brighton and Hove, England, BN1 1HH, United Kingdom"
212677583,N,place,city,"مظفر آباد, ضلع مظفر آباد, مظفرآباد ڈویژن, آزاد کشمیر, 13100, پاکستان"
247431235,N,place,suburb,"Wybourn, Sheffield, South Yorkshire, England, S2 5EW, United Kingdom"
27565066,N,place,city,"Ìbàdàn, Ibadan South West, Oyo, 234102, Nigeria"
353979111,N,place,island,"Turtle Island, Lucas County, Ohio, United States"
3739658975,N,amenity,restaurant,"Lesecafé Erlangen, 55, Hauptstraße, Innenstadt, Erlangen, Bayern, 91054, Deutschland"
663428001,N,place,city,"Newry, County Down, Northern Ireland / Tuaisceart Éireann, BT35 6HT, United Kingdom"
7747595593,N,place,quarter,"Nelson South, Toi Toi, Nelson City, Nelson, 7040, New Zealand / Aotearoa"
880333187,N,place,suburb,"Army Bay, Hibiscus and Bays, Auckland, 0930, New Zealand / Aotearoa"
10489605,R,boundary,administrative,"गण्डकी प्रदेश, नेपाल"
10492533,R,boundary,administrative,"Zam, Hunedoara, România"
10663667,R,boundary,administrative,"Malmö, Malmö kommun, Skåne län, Sverige"
11675192,R,boundary,administrative,"Sunshine Coast Regional, Queensland, Australia"
12394677,R,boundary,administrative,"काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
1411339,R,boundary,administrative,"Denver, Colorado, United States"
14656246,R,highway,pedestrian,"Beim Grafeneckart, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
16193530,R,place,city,"Kisumu, City of Kisumu, Kisumu, Kenya"
16789368,R,boundary,census,"South Hill, Puyallup, Pierce County, Washington, United States"
16935638,R,highway,pedestrian,"Adenauer-Ufer, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland"
18154806,R,boundary,administrative,"Calistoga, Napa County, California, 94515, United States"
18183546,R,amenity,townhall,"Stadt Erlangen - Kleines Rathaus, 40, Schuhstraße, Innenstadt, Erlangen, Bayern, 91052, Deutschland"
183792,R,boundary,administrative,"Rimpar, Landkreis Würzburg, Bayern, 97222, Deutschland"
190922,R,boundary,administrative,"Buch am Erlbach, Landkreis Landshut, Bayern, 84172, Deutschland"
1942586,R,boundary,administrative,"Delhi, India"
207359,R,boundary,administrative,"Los Angeles, Los Angeles County, California, United States"
