id,osm_type,osm_id,osm_class,osm_class_type,display_name
3877,R,3328238,boundary,postal_code,"97072, Sanderau, Würzburg, Bayern, Deutschland"
3879,R,3372441,boundary,postal_code,"79336, Bleichheim, Herbolzheim, Verwaltungsverband Kenzingen-Herbolzheim, Landkreis Emmendingen, Baden-Württemberg, Deutschland"
3873,R,3388970,boundary,postal_code,"32657, Lemgo, Entrup, Lemgo, Kreis Lippe, Nordrhein-Westfalen, Deutschland"
3836,R,4264867,highway,pedestrian,"Firmaneiplatz, Biegenviertel, Campusviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
3881,R,5244730,boundary,administrative,"Hecklingen, Kenzingen, Verwaltungsverband Kenzingen-Herbolzheim, Landkreis Emmendingen, Baden-Württemberg, Deutschland"
3817,W,114708410,highway,residential,"Zum Inselparadies, Petzow, Werder (Havel), Potsdam-Mittelmark, Brandenburg, 14542, Deutschland"
3785,W,48605329,highway,platform,"Rathaus Babelsberg, Karl-Liebknecht-Straße, Babelsberg Nord, Potsdam, Brandenburg, 14482, Deutschland"
3846,W,91931542,highway,unclassified,"Rue des Bonnetiers, Zone industrielle République, La République, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France"
3844,N,1833691694,place,house,"2, Hörleingasse, Innenstadt, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
3868,N,2073370826,place,hamlet,"Dron, Bridge of Earn, Perth and Kinross, Alba / Scotland, PH2 9HG, United Kingdom"
3778,N,29346657,place,town,"Kinross, Perth and Kinross, Alba / Scotland, KY13 8AL, United Kingdom"
3857,N,312763266,place,village,"Kirkmichael, Perth and Kinross, Alba / Scotland, PH10 7NT, United Kingdom"
3824,N,3292763488,craft,photographer,"bildwert, 46, Dortustraße, Nikolaigärten, Historische Innenstadt, Potsdam, Brandenburg, 14467, Deutschland"
3803,N,3611609007,place,hamlet,"Ingliston, City of Edinburgh, Alba / Scotland, EH28 8LS, United Kingdom"
3841,N,4058585960,amenity,bicycle_rental,"Fachhochschule Potsdam, 5, Kiepenheuerallee, Bornstedter Feld, Bornstedt, Potsdam, Brandenburg, 14469, Deutschland"
3858,N,5075461941,place,house,"7, Am Bassin, Viertel der Seidenweber, Historische Innenstadt, Potsdam, Brandenburg, 14467, Deutschland"
3860,N,641124915,place,village,"Dechsendorf, Erlangen, Bayern, 91093, Deutschland"
3808,N,6502283116,emergency,defibrillator,"13, Biegenstraße, Biegenviertel, Campusviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
3869,N,67001612,place,town,"Auchterarder, Perth and Kinross, Alba / Scotland, PH3 1BJ, United Kingdom"
3870,N,8757639769,amenity,library,"Bibliothek im Dorftreff Kaffeesatz, 44, Hauptstraße, Malterdingen, VVG der Stadt Emmendingen, Landkreis Emmendingen, Baden-Württemberg, 79364, Deutschland"
3796,N,93668817,place,village,"Braco, Perth and Kinross, Alba / Scotland, FK15 9QJ, United Kingdom"
3821,N,9522480588,amenity,clock,"1, Kloster Oberzell, Zell am Main, Landkreis Würzburg, Bayern, 97299, Deutschland"
