osm_type,osm_id,name
R,7444,"Paris, Île-de-France, France métropolitaine, France"
R,7462,"Doubs, Bourgogne-Franche-Comté, France métropolitaine, France"
R,8649,"Île-de-France, France métropolitaine, France"
R,16132,"Colombo, Colombo District, Western Province, Sri Lanka"
R,16239,Österreich
R,16343,"Spandau, Berlin, Deutschland"
R,17529,"London Borough of Sutton, London, Greater London, England, United Kingdom"
R,17585,"Unterfranken, Deutschland"
R,17614,"Mittelfranken, Bayern, Deutschland"
R,18000,"Perpignan, Pyrénées-Orientales, Occitanie, France métropolitaine, France"
R,21335,Magyarország
R,27020,"Flensburg, Schleswig-Holstein, Deutschland"
R,27021,"Kiel, Schleswig-Holstein, Deutschland"
R,27027,"Lübeck, Schleswig-Holstein, Deutschland"
R,28699,საქართველო
R,28722,"Montpellier, Hérault, Occitanie, France métropolitaine, France"
R,29831,"Zolling, Zolling (VGem), Landkreis Freising, Bayern, 85406, Deutschland"
R,30005,"Freising, Landkreis Freising, Bayern, Deutschland"
R,30971,"Garching bei München, Landkreis München, Bayern, 85748, Deutschland"
R,33201,"Kunst- und Kreativhaus Rechenzentrum, 46, Dortustraße, Nikolaigärten, Historische Innenstadt, Potsdam, Brandenburg, 14467, Deutschland"
R,33505,"Orsay, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91400, France"
R,34719,"Graz, Steiermark, Österreich"
R,34914,"Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi / Finland"
R,35738,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France"
R,37244,"Budapest, Közép-Magyarország, Magyarország"
R,40217,"Salerno, Campania, Italia"
R,40454,"Lei, Nuoro, Sardigna/Sardegna, 08010, Italia"
R,40527,"Rumana/Romana, Sassari, Sardigna/Sardegna, 07010, Italia"
R,40789,"Montoro, Avellino, Campania, 83025, Italia"
R,41485,"Roma, Roma Capitale, Lazio, Italia"
R,42602,"Firenze, Toscana, Italia"
R,42619,"Prato, Toscana, Italia"
R,42628,"Provincia di Imperia, Liguria, Italia"
R,43483,"Pavia, Lombardia, Italia"
R,43756,"Cerro Tanaro, Asti, Piemonte, Italia"
R,43992,"Torino, Piemonte, Italia"
R,44836,"Padova, Veneto, 35121-35143, Italia"
R,47504,"Eindhoven, Noord-Brabant, Nederland"
R,47796,Nederland
R,47811,"Amsterdam, Noord-Holland, Nederland"
R,49715,Polska
R,49915,Việt Nam
R,50046,Danmark
R,50371,မြန်မာ
R,51477,Deutschland
R,51529,"Schleswig-Holstein, Deutschland"
R,51684,Česko
R,51701,Schweiz/Suisse/Svizzera/Svizra
R,51800,"City of London, Greater London, England, United Kingdom"
R,52411,België / Belgique / Belgien
R,52747,"Trudering-Riem, München, Bayern, Deutschland"
R,52822,Sverige
R,53292,Shqipëria
R,53296,Crna Gora / Црна Гора
R,53650,"Gif-sur-Yvette, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91190, France"
R,53801,"Bures-sur-Yvette, Palaiseau, Essonne, France métropolitaine, 91440, France"
R,54224,Suomi / Finland
R,54413,"Blekinge län, Sverige"
R,54417,"Kalmar län, Sverige"
R,54462,"Dinslaken, Kreis Wesel, Nordrhein-Westfalen, Deutschland"
R,54517,"Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, France"
R,55770,"Blankenfelde-Mahlow, Teltow-Fläming, Brandenburg, Deutschland"
R,55776,"Wildau, Schenkendorf-Krummensee, Dahme-Spreewald, Brandenburg, 15745, Deutschland"
R,56679,"Velbert, Kreis Mettmann, Nordrhein-Westfalen, Deutschland"
R,57537,"Cornwall, England, United Kingdom"
R,57750,"Antony, Hauts-de-Seine, Île-de-France, France métropolitaine, 92160, France"
R,58253,"Uccle - Ukkel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1180, België / Belgique / Belgien"
R,58274,"Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
R,58437,"Cymru / Wales, United Kingdom"
R,58446,"Alba / Scotland, United Kingdom"
R,58447,"England, United Kingdom"
R,58590,"Wesel, Kreis Wesel, Nordrhein-Westfalen, Deutschland"
R,58591,"Xanten, Kreis Wesel, Nordrhein-Westfalen, 46509, Deutschland"
R,58619,"Kamp-Lintfort, Kreis Wesel, Nordrhein-Westfalen, 47475, Deutschland"
R,58974,Moldova
R,59195,"Мінск, Беларусь"
R,59418,"Hannover, Region Hannover, Niedersachsen, Deutschland"
R,59470,Brasil
R,60189,Россия
R,60199,Україна
R,60687,"Gmunden, Bezirk Gmunden, Oberösterreich, 4810, Österreich"
R,60759,"Vermont, United States of America"
R,61315,"Massachusetts, United States of America"
R,61320,"New York, United States of America"
R,61945,"Haltern am See, Kreis Recklinghausen, Nordrhein-Westfalen, 45721, Deutschland"
R,62149,United Kingdom
R,62273,Éire / Ireland
R,62347,"Ludwigshafen am Rhein, Rheinland-Pfalz, Deutschland"
R,62350,"Mittelsachsen, Sachsen, Deutschland"
R,62356,"Landkreis Erding, Bayern, Deutschland"
R,62363,"Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
R,62369,"Potsdam, Brandenburg, Deutschland"
R,62372,"Saarland, Deutschland"
